Functional Circuit Order,Funtional Task,Instructions,Preparation,Spine,,,,,,UL Right,,,,,,UL Left,,,,,,LL,,,,,,,,,
,,,,Bending forward,Straightening/arching*,Rotation left,Rotation right,Side bend left,Side bend right,Proximal overhead reaching,Distal overhead reaching,Proximal reaching,Distal reaching,Reaching down,Non-functional,Proximal overhead reaching,Distal overhead reaching,Proximal reaching,Distal reaching,Reaching down,Non-functional,Sitting ,Standing,Walking,Running,Stair ascend,Stair descend,Squatting,Kneeling,Lying,Rolling
Start,Static standing,Stand upright with arms relaxed by your side.,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
2,Jump,"Using both legs, do a 5 jumps, attempting to land back in the same spot you started.",,,,,,,,,,,,,x,Ê,,,,,x,Ê,,,,,,,,,Ê
3,Lying on bed on back.,"Lie on the bed, on your back. Don't cross your legs, keep your hands to your side or on your chest/stomach",,,,,,,,,,,,,x,Ê,,,,,x,Ê,,,,,,,,x,Ê
4,Cycle through different natural postures you sleep in,"Start lying on your back, and then roll over to the side. Hold each position for 10 seconds.",,,,,,,,,,,,,x,Ê,,,,,x,Ê,,,,,,,,x,x
5,"Sit up (from lying), sit with legs over the edge of the bed.","Starting from lying on your back, sit up and sit with your legs over the edge of the bed. When sitting, keep your hands to your side or place them on your thighs.",,,x,,,,,,,,,,x,Ê,,,,,x,x,,,,,,,,,x
6,Bend down and tie shoelace of shoes,Bend forward to tie up a shoelace. Keep your feet on the floor.,Provide a shoe if participant is not wearing a laced shoe.,x,,,,,,,,,,x,,Ê,,,,x,Ê,x,,,,,,,,,Ê
7,Sit up straight,"Start bent forward as if you're tying up the shoe, then straighten up to sit up straight.",,,x,,,,,,,,,,x,Ê,,,,,x,x,,,,,,,,,Ê
8,Stand up and turn around to face the bed,Stand up from the bed and turn around 180 degrees to face the bed. Keep your arms to your sides.,,,x,,,,,,,,,,x,Ê,,,,,x,Ê,x,,,,,,,,Ê
9,Cover the bed with the sheet,Cover the bed with the sheet. Please use both hands.,,x,,,,,,,,,,x,,Ê,,,,x,Ê,Ê,x,,,,,,,,Ê
10,Stack the pillows,Place the pillow in a neat stack at the head of the bed. Please use both hands to hold each pillow.,,x,,,,,,,,,,x,,Ê,,,,x,Ê,Ê,x,,,,,,,,Ê
11,Turn around and switch off the light.,Use your right hand to switch off the light at the wall switch.,,,x,,,,,x,,,,,,Ê,,,,,x,Ê,x,,,,,,,,Ê
12,Turn and walk (<10m) to high shelf,Walk at your natural pace to the shelves in the kitchen.,,,x,,,,,,,,,,x,Ê,,,,,x,Ê,,x,,,,,,,Ê
13,Open the shelf door with right arm,Open the door of the high shelf with your right hand. Keep your left hand to your side or in your pocket.,Make sure there are 5 items on the shelf for the subject to pick.,,x,,,,,,x,,,,,Ê,,,,,x,Ê,x,,,,,,,,Ê
14,Take items from the shelf and place on bench right arm,Use your right hand to take items from the shelf and place them on the bench.,,,,,,,,,x,,,,,Ê,,,,,x,Ê,x,,,,,,,,Ê
15,Take items from the bench and place on shelf right arm,Use your right hand to take items from the bench and return them to the shelf.,,,,,,,,,x,,,,,Ê,,,,,x,Ê,x,,,,,,,,Ê
16,Close the shelf door right arm,Close the door of the high shelf with your right hand. Keep your left hand to your side or in your pocket.,,,x,,,,,,x,,,,,Ê,,,,,x,Ê,x,,,,,,,,Ê
17,Open the shelf door with left arm,Open the door of the high shelf with your left hand. Keep your right hand to your side or in your pocket.,,,,,,,,,,,,,x,Ê,x,,,,Ê,Ê,x,,,,,,,,Ê
